"TBARS" "X411.654" "X415.222" "X418.788" "X422.351" "X425.911" "X429.469" "X433.024" "X436.576" "X440.125" "X443.672" "X447.216" "X450.757" "X454.295" "X457.831" "X461.363" "X464.894" "X468.421" "X471.946" "X475.467" "X478.987" "X482.503" "X486.017" "X489.527" "X493.036" "X496.541" "X500.044" "X503.543" "X507.041" "X510.535" "X514.027" "X517.516" "X521.002" "X524.485" "X527.966" "X531.444" "X534.919" "X538.391" "X541.861" "X545.328" "X548.792" "X552.253" "X555.712" "X559.168" "X562.621" "X566.072" "X569.519" "X572.964" "X576.407" "X579.846" "X583.283" "X586.717" "X590.148" "X593.576" "X597.002" "X600.425" "X603.845" "X607.263" "X610.677" "X614.089" "X617.499" "X620.905" "X624.309" "X627.710" "X631.108" "X634.504" "X637.896" "X641.286" "X644.674" "X648.058" "X651.440" "X654.819" "X658.195" "X661.569" "X664.939" "X668.307" "X671.673" "X675.035" "X678.395" "X681.752" "X685.106" "X688.458" "X691.807" "X695.153" "X698.496" "X701.836" "X705.174" "X708.509" "X711.842" "X715.171" "X718.498" "X721.822" "X725.143" "X728.462" "X731.778" "X735.091" "X738.401" "X741.709" "X745.014" "X748.316"
"e04_4" 49.3400002 5319.5 6081.25 6874.583 7539 8417.75 9321.584 10237.083 10960.916 11517 11990 12412.584 12938.417 13393.834 13814 14278.25 14669.583 14817.5 14607.666 14175.75 13939.584 13609.417 13385.25 13098.584 12750.584 12652.166 12380.083 12157.666 12041.333 11871 11631.667 11274.75 10892.25 10533.334 10177.25 9712.166 9311.25 8914.084 8492.417 8129.5 7790.9165 7371.6665 6958.0835 6666.083 6382.5 6199.3335 6092.5 5831.5 5348.667 4881.75 4503.4165 4106 3808.1667 3516.25 3222.4167 2992 2810.5835 2621.1665 2457.8335 2320.6665 2194.0835 2063.0835 1920.0833 1791.8333 1676 1545 1430 1345.1667 1240.6666 1179.6667 1104.4166 1020.25 946 878.083374 814 748.666687 707.916626 671.916626 624.583374 582.833374 546.916626 513.166626 461.416687 430.333313 408.25 382 372.583313 352.5 335.25 328.166687 309.916687 284.5 267.333313 254.6666718 245.75 226.8333282 205.25 213.9166565 201.0833435 186.5
"e04_8" 61.1199989 6434.083 7614.583 8717.084 9823 11087.084 12565 13818.084 14975.75 15801.917 16515.166 17219.75 17908.418 18567.668 19230.75 19747.832 20283.918 20495.668 20148.334 19539.918 18996.834 18498.418 18131.584 17643.834 17190.416 16791.334 16408.084 15986.25 15674.25 15325.666 14911.75 14348.25 13845.166 13230.917 12736.666 12150.083 11662.25 11162.584 10645.667 10126.084 9644.416 9128.166 8666.166 8248.333 7885.75 7643.667 7552.1665 7236.417 6632.333 6032 5529.25 5080.917 4719.6665 4365.833 4010.0833 3729.3333 3443.6665 3263.25 3067.6665 2903.5835 2723.1665 2570.8335 2413.9167 2255.8333 2101 1939.9167 1801.4166 1695.25 1586.5 1515.75 1383.8333 1292.4166 1181.4167 1098.8333 1022.5 972.833374 891.583374 848.083313 795.333374 725.5 683.666626 643.5 590.166626 553.333374 512.666687 491.583313 466.4166565 453.8333435 409.583313 409.25 375 345.25 331.083313 315.166687 285.916687 275.333313 259.1666565 259.166687 243.75 220.25
"e05_1" 33.5 3957.1665 4331.417 4646.9165 4995 5408.333 5909.0835 6357.583 6685.917 7087.083 7448.833 7805.75 8270 8665.25 9006.167 9369.917 9566.333 9448.334 9343.333 9131.167 9123 9086.916 8915.583 8839.833 8816.334 8757.084 8758.416 8747.584 8751.75 8626.166 8425.834 8178.5835 8011 7773.25 7501.75 7196.6665 6950.75 6616.833 6417.333 6167.833 5809.8335 5559.8335 5318.333 5108.5 4976.75 4917.75 4719.417 4315.333 3948 3621.75 3348.9165 3116.5 2850.1667 2610.1665 2412.75 2270.25 2133.5835 2007.3333 1918.75 1850.5 1679.75 1604.5 1527.9167 1397.9166 1284 1188.8333 1096.6666 1046.3334 993.833374 916 843.666687 787.75 727.083313 690.416687 649.333374 599.083374 553.166626 537.25 484.25 475.666687 441.166687 405.75 364.166687 346.25 329.75 341.8333435 310.75 313.75 282.4166565 268.5 261.1666565 233.1666718 236 227.9166565 205.6666565 190 177.75 172 178.4166565 151
"e05_4" 41.4799995 4148.833 4827.083 5394.5 5892.583 6499.5 7141.417 7778.667 8343.666 8779.166 9161.666 9526.083 9950.334 10351.416 10773.5 11116.75 11478.75 11693.666 11529.334 11258.5 11091.334 10910.334 10749.584 10615.667 10570.75 10422 10350.416 10352 10358.916 10296.334 10222.916 10069.083 9768.834 9503.917 9202.334 8937.584 8608.833 8264.667 7934.833 7602 7307.583 6910.5 6605.8335 6302.3335 6053.5 5890.583 5825.9165 5579 5113.5 4651.5 4275.75 3911.1665 3611.9167 3345.4165 3098.0833 2856 2673.0835 2480 2341.25 2211.25 2089.6665 1944.4166 1821.4166 1717.3333 1610.75 1462.1667 1360.25 1271.0833 1181.0834 1126.75 1061.5 959.833374 882.25 829.5 768.833374 716.25 662.916626 622.083313 573.166687 531 508.583313 467.166687 429.5 406.666687 387.333313 353.5 348.75 325.1666565 310.416687 298.583313 281.916687 260.1666565 243.3333435 236.5 216.75 202.5833435 193 190.6666718 186.5833282 165
"e05_8" 39.8899994 5310.833 6199.0835 7151.333 7936.583 8956.583 10010.75 11009.25 11870.417 12541.167 13162.834 13811.166 14413.834 14998.416 15590.584 16079.75 16624.668 16814.5 16687.582 16277.166 15986.916 15727.834 15500.667 15221.334 14989.25 14738.667 14538.166 14347.75 14196.584 13990.5 13738.25 13357.916 12943.833 12564.917 12146.584 11712.667 11280.334 10798.833 10366.166 9934.916 9479.666 9073.834 8606.75 8245.5 7965.6665 7704.3335 7634.333 7328.417 6713 6143.9165 5656.4165 5224.75 4843.333 4488 4161.8335 3872.9165 3550.4165 3345.75 3175.0835 3012 2817.5 2651.9167 2489.1667 2347.9167 2192.0835 2014.4167 1888.5 1758.75 1645.4167 1563.3334 1461.25 1339.1667 1238.1667 1147.4166 1066.25 1016.5833 950.583374 881.5 838.583374 772 720.25 672.083374 622.5 578.583374 546 503.666687 503.0833435 473 432.6666565 418.6666565 380.3333435 360.75 342.416687 323.9166565 299.333313 282.583313 264.25 255.1666565 253.25 228.9166565
"e06_1" 49.0600014 4237.5 4619.0835 4836.333 5232.583 5615.1665 6024.25 6443.583 6765.667 7100.8335 7426.4165 7767.167 8139.167 8455.416 8819.083 9106.75 9226.167 9221.334 8972.083 8791.584 8754.666 8668.583 8517.334 8427.916 8318.916 8272.75 8228.917 8267.583 8256.083 8122.5 7901.9165 7718.833 7468.4165 7202.583 6993.833 6690.167 6448.583 6155.5 5925.8335 5625.333 5379.833 5114.8335 4894.25 4710.0835 4616.0835 4541.0835 4321 3924.6667 3661.8333 3361.5835 3080.1667 2813.4165 2627 2425.6665 2233.5 2084.3335 1971.4166 1852.5 1748.9166 1665.1666 1575.8334 1486.5 1405.5 1281.5834 1188.0833 1109.3333 1025.6666 954.916626 921.333374 855.583313 780 734.166687 679.166626 638.916687 592 557.5 532.25 486.833313 457.083313 435.5833435 415.666687 378.25 346.25 328.166687 305.916687 318.25 298.9166565 286.333313 269 266.3333435 248.3333282 223.1666565 217.9166565 210.5 185.9166565 183 174.75 156.8333435 171.1666565 154.1666718
"e06_4" 66.1999969 4082.9167 4696.25 5364.75 5878.583 6581.333 7354.5835 8098.917 8726.5 9241.416 9753.834 10277.334 10790.334 11275.5 11791 12316.5 12821.25 13015.916 12932 12713 12513.584 12304.583 12191.5 11992.166 11792.417 11605.833 11410.334 11310.584 11194.084 11072.083 10891.083 10583 10291.25 9906.917 9606.333 9252.666 8929.916 8540 8188.667 7838.833 7499.0835 7145.333 6822.75 6508.25 6262.6665 6100.1665 6001.5 5771.3335 5326.417 4841.3335 4459.583 4099.4165 3789.25 3507.9165 3240.3335 2994.5835 2784.1665 2639.75 2480.6665 2359.4165 2228.8335 2088.75 1966.9167 1853.1667 1719.5 1589.5834 1459.8333 1380.6667 1301.6666 1235.3333 1138.75 1056.4167 970.916626 908.25 852.666626 783.75 749.583374 689.916626 646.666626 607.333374 567 531.666687 488.1666565 459.833313 430.166687 396.0833435 392.583313 376.083313 344.6666565 343.833313 318.5 288.0833435 272.5 255.1666718 241 224.0833435 212.8333282 221.75 202.75 189.9166565
"e06_8" 45.1699982 5901.583 6947 8002.75 8985.25 10118.75 11323.25 12441.667 13451.416 14213.75 14969.584 15647.416 16267.084 16966.584 17610.918 18221.5 18737.25 19004.082 18813.918 18359.584 17976.25 17681.75 17350.582 17017.75 16675.668 16449 16131.583 15856.584 15548.084 15368.083 15055.25 14546.833 14140.917 13596.166 13155.916 12631.75 12154.75 11688.084 11149.166 10701.416 10170.083 9662.917 9210.167 8820.416 8454.084 8224.417 8090.583 7780.25 7150.417 6507.5 5985.417 5520.25 5119.75 4732.667 4353.75 4048.3335 3737.4167 3492.5835 3317.4167 3143.4167 2965.75 2820.6667 2609.6665 2458.6665 2277.3335 2108.3335 1962.0833 1827.8334 1716.9167 1636.1667 1502.75 1398.8333 1291.6667 1200.3334 1100.4167 1062.4167 970.916626 919.666626 854 794.416626 747.666687 711.5 651 605.666687 571.25 526.666687 495 470 441.5 430.6666565 399.1666565 370.5833435 343.75 331.5 310.333313 286.166687 280 275.666687 255.25 234.3333435
"e07_1" 26.6900005 5108.4165 5509.417 5752.5 6280.833 6837.8335 7448.917 7823.9165 8198.583 8464.333 8829 9096.75 9483.167 9767.916 10150.666 10415.834 10594.666 10284.333 10088.917 9810.25 9633.5 9562.584 9351.5 9191.833 9043.084 8967.667 8860.834 8860.084 8732 8532.75 8296.333 8079 7794.25 7504 7205 6886 6609.5835 6346.667 6033.333 5785.0835 5472.333 5227.6665 4933.25 4744.917 4621 4577.167 4340 3957.8335 3604.6665 3319.0833 3047.6665 2821.75 2568.25 2405.6665 2205.5833 2063.1667 1922.0833 1828.25 1728.75 1637.8333 1554.4166 1470.3333 1378.1667 1264.4167 1174.3334 1087.8333 1021.9166 932.583374 884.916626 836 774.75 722.75 664.5 629.5 574.916626 546.583374 508.5 480.1666565 440 421.1666565 406.666687 371.5 339 316.75 298.25 327.166687 297.0833435 282.75 259.166687 269.083313 243.8333435 216 217.25 205.5 187.25 184.5833435 169.6666718 163.1666565 173.4166565 142
"e07_4" 79.5299988 5276.833 6082.1665 6827 7538.167 8305.167 9271.083 10142.916 10850.416 11402.334 11697.584 12195.167 12582.5 13037.334 13452 13883.5 14238.834 14352.584 14128.25 13671.916 13416.834 13039.084 12819.584 12531.166 12298 12033.25 11897.916 11685.584 11514.583 11399.833 11146.334 10815.166 10502.75 10085.25 9692.5 9350.416 8956.666 8556.166 8152.75 7821.417 7480.667 7117.667 6732.75 6411.3335 6134.25 5974.583 5884.5 5636.8335 5156 4708.1665 4338.667 3991.9167 3665 3378.1667 3145.6665 2899.4165 2692.6665 2534.8335 2360.9167 2237.75 2098.0833 1999.4166 1868 1746.75 1631.75 1512.9167 1385.4167 1289 1211.3334 1155.4166 1089.4167 976.833374 908.083313 850.833313 781.166687 732.75 683.833374 659.583374 592.75 552.5 528.083374 498 454.5 415.833313 398.916687 367.416687 368.583313 339.8333435 331.5833435 313.75 295.833313 274 255.4166718 248.6666565 235.75 214.0833435 197.6666565 202.25 194.3333282 180.5
